date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,symbol
2023-07-07,143.91,145.8436,143.0,144.34,144.34,8981456,0.0000,1.0,JPM
2023-07-06,143.02,143.39,141.4401,143.21,143.21,9714100,0.0000,1.0,JPM
2023-07-05,144.94,145.43,144.36,144.64,144.64,8935519,1.0000,1.0,JPM
2023-07-03,146.19,147.48,146.0,146.61,145.603339741829,8021622,0.0000,1.0,JPM
2023-06-30,144.6,146.0,143.66,145.44,144.441373249107,14212816,0.0000,1.0,JPM
2023-06-29,140.07,143.56,139.85,143.43,142.445174402637,15423230,0.0000,1.0,JPM
2023-06-28,139.16,139.21,137.96,138.59,137.638407031035,7558644,0.0000,1.0,JPM
2023-06-27,139.0,139.84,138.54,139.2,138.244218621258,8154024,0.0000,1.0,JPM
2023-06-26,138.87,140.01,137.69,139.19,138.234287283713,8429727,0.0000,1.0,JPM
2023-06-23,138.54,139.18,137.62,138.85,137.896621807196,9919539,0.0000,1.0,JPM
2023-06-22,142.31,142.6,138.95,139.58,138.621609447954,10076325,0.0000,1.0,JPM
2023-06-21,142.9,144.02,141.691,142.32,141.342795935183,9926459,0.0000,1.0,JPM
2023-06-20,142.61,143.0,141.04,142.53,141.55135402362,8431008,0.0000,1.0,JPM
2023-06-16,143.05,143.965,142.5,143.26,142.276341664378,13813512,0.0000,1.0,JPM
2023-06-15,140.59,143.4,140.03,143.09,142.107508926119,9343096,0.0000,1.0,JPM
2023-06-14,143.0,143.61,140.7,141.49,140.518494918978,9068729,0.0000,1.0,JPM
2023-06-13,140.48,142.87,140.14,142.02,141.044855808844,7701567,0.0000,1.0,JPM
2023-06-12,141.07,141.32,139.76,141.0,140.031859379291,7600196,0.0000,1.0,JPM
2023-06-09,140.35,141.8,140.21,141.01,140.041790716836,7253946,0.0000,1.0,JPM
2023-06-08,140.67,140.89,139.4807,140.73,139.763713265586,7370043,0.0000,1.0,JPM
2023-06-07,139.55,141.27,138.83,140.69,139.723987915408,9281389,0.0000,1.0,JPM
2023-06-06,138.68,140.1,138.2066,139.34,138.383257346883,9329541,0.0000,1.0,JPM
2023-06-05,140.11,140.11,138.13,139.09,138.134973908267,8511900,0.0000,1.0,JPM
2023-06-02,139.56,141.48,139.34,140.47,139.505498489426,12922471,0.0000,1.0,JPM
2023-06-01,136.52,138.23,135.445,137.58,136.635341939028,12248094,0.0000,1.0,JPM
2023-05-31,136.73,136.84,134.4044,135.71,134.778181818182,13750897,0.0000,1.0,JPM
2023-05-30,136.8,137.72,136.02,137.46,136.516165888492,7399867,0.0000,1.0,JPM
2023-05-26,136.11,137.6,135.63,136.94,135.999736336171,8579941,0.0000,1.0,JPM
2023-05-25,134.82,136.27,134.58,135.67,134.738456468003,8472505,0.0000,1.0,JPM
2023-05-24,135.4,136.35,135.08,135.34,134.41072232903,8577997,0.0000,1.0,JPM
2023-05-23,137.54,139.03,136.455,136.59,135.652139522109,9514897,0.0000,1.0,JPM
2023-05-22,141.0,141.64,137.66,138.03,137.082252128536,11402476,0.0000,1.0,JPM
2023-05-19,139.79,140.49,138.125,139.18,138.224355946169,13492239,0.0000,1.0,JPM
2023-05-18,138.27,139.73,137.76,139.5,138.542158747597,10999607,0.0000,1.0,JPM
2023-05-17,135.9,138.5899,135.46,138.45,137.499368305411,12711522,0.0000,1.0,JPM
2023-05-16,135.46,135.9382,133.96,134.32,133.397725899478,6483267,0.0000,1.0,JPM
2023-05-15,134.27,135.67,133.96,135.23,134.30147761604,7639451,0.0000,1.0,JPM
2023-05-12,136.82,136.99,133.13,134.1,133.179236473496,9988598,0.0000,1.0,JPM
2023-05-11,135.0,136.81,134.9,136.05,135.115847294699,7057277,0.0000,1.0,JPM
2023-05-10,137.95,138.06,134.87,136.48,135.542894809118,8133416,0.0000,1.0,JPM
2023-05-09,135.93,136.95,135.21,136.41,135.473375446306,7343573,0.0000,1.0,JPM
2023-05-08,137.49,137.97,136.475,137.07,136.128843724252,7484872,0.0000,1.0,JPM
2023-05-05,136.44,137.88,135.912,136.74,135.801109585279,11261394,0.0000,1.0,JPM
2023-05-04,134.96,135.72,131.81,134.12,133.199099148586,17089164,0.0000,1.0,JPM
2023-05-03,138.44,138.6687,135.76,135.98,135.046327931887,12930906,0.0000,1.0,JPM
2023-05-02,141.4,142.41,138.43,138.92,137.966141170008,14113447,0.0000,1.0,JPM
2023-05-01,142.26,143.37,140.83,141.2,140.230486130184,20415762,0.0000,1.0,JPM
2023-04-28,136.56,138.32,135.67,138.24,137.290810216973,9887262,0.0000,1.0,JPM
2023-04-27,136.0,137.91,135.66,137.05,136.108981049162,9041092,0.0000,1.0,JPM
2023-04-26,137.62,137.8093,134.0,135.23,134.30147761604,14238908,0.0000,1.0,JPM
2023-04-25,139.6,139.96,137.625,137.67,136.724723976929,10629325,0.0000,1.0,JPM
2023-04-24,140.455,141.1,140.04,140.73,139.763713265586,7567666,0.0000,1.0,JPM
2023-04-21,139.74,141.11,138.78,140.54,139.575017852238,11842537,0.0000,1.0,JPM
2023-04-20,139.91,141.43,139.84,140.81,139.843163965943,10586245,0.0000,1.0,JPM
2023-04-19,141.23,141.5,140.4,141.22,140.250348805273,9158112,0.0000,1.0,JPM
2023-04-18,140.27,141.78,139.03,141.4,140.429112881077,13760139,0.0000,1.0,JPM
2023-04-17,139.95,140.06,137.66,139.83,138.86989288657,15961327,0.0000,1.0,JPM
2023-04-14,135.15,139.12,134.9001,138.73,137.77744575666,43931328,0.0000,1.0,JPM
2023-04-13,128.46,129.04,126.83,128.99,128.10432298819,12450242,0.0000,1.0,JPM
2023-04-12,129.18,130.43,128.0603,128.5,127.617687448503,11820995,0.0000,1.0,JPM
2023-04-11,128.3,128.94,127.54,128.52,127.637550123592,10516267,0.0000,1.0,JPM
2023-04-10,126.54,128.23,126.22,127.89,127.011875858281,9477292,0.0000,1.0,JPM
2023-04-06,127.0,128.08,126.8553,127.47,126.594759681406,8760220,0.0000,1.0,JPM
2023-04-05,126.8,128.15,126.46,127.61,126.733798407031,9614692,1.0000,1.0,JPM
2023-04-04,130.5,130.59,127.41,128.42,126.546570184518,11579916,0.0000,1.0,JPM
2023-04-03,129.91,131.44,129.41,130.16,128.261186538054,11775388,0.0000,1.0,JPM
2023-03-31,129.66,130.34,128.8514,130.31,128.408998292669,13105215,0.0000,1.0,JPM
2023-03-30,129.95,130.12,127.65,128.75,126.871756044672,12134675,0.0000,1.0,JPM
2023-03-29,130.1,130.22,127.77,129.14,127.256066606671,14595260,0.0000,1.0,JPM
