Effective date ,Dow Jones U.S. Financial Services Index (USD)
4/30/2013,332.26
5/1/2013,327.43
5/2/2013,330.52
5/3/2013,334.03
5/6/2013,337.46
5/7/2013,340.34
5/8/2013,342.8
5/9/2013,340.22
5/10/2013,341.92
5/13/2013,343.04
5/14/2013,349.54
5/15/2013,353.65
5/16/2013,351.59
5/17/2013,357.69
5/20/2013,358.57
5/21/2013,359.8
5/22/2013,356.48
5/23/2013,354.49
5/24/2013,355.82
5/28/2013,360.45
5/29/2013,360.89
5/30/2013,366.04
5/31/2013,360.06
6/3/2013,360.73
6/4/2013,357.78
6/5/2013,351.31
6/6/2013,355.92
6/7/2013,361.93
6/10/2013,363.25
6/11/2013,356.78
6/12/2013,353.29
6/13/2013,359.24
6/14/2013,353.91
6/17/2013,357.55
6/18/2013,360.42
6/19/2013,357.05
6/20/2013,350.16
6/21/2013,349.83
6/24/2013,343.11
6/25/2013,349.82
6/26/2013,352.71
6/27/2013,357.18
6/28/2013,354.7
7/1/2013,357.17
7/2/2013,357
7/3/2013,356.84
7/5/2013,364.23
7/8/2013,366.77
7/9/2013,369.14
7/10/2013,366.16
7/11/2013,368.01
7/12/2013,371.75
7/15/2013,374.03
7/16/2013,371.95
7/17/2013,373.89
7/18/2013,379.52
7/19/2013,379.63
7/22/2013,382.74
7/23/2013,382.87
7/24/2013,380.76
7/25/2013,381.52
7/26/2013,380.02
7/29/2013,377.17
7/30/2013,377.76
7/31/2013,377.62
8/1/2013,385.02
8/2/2013,385.54
8/5/2013,384.67
8/6/2013,381.29
8/7/2013,377.9
8/8/2013,378.43
8/9/2013,376.64
8/12/2013,375.09
8/13/2013,377.41
8/14/2013,376.09
8/15/2013,370.8
8/16/2013,370.81
8/19/2013,366.17
8/20/2013,368.9
8/21/2013,366.74
8/22/2013,371.01
8/23/2013,371.11
8/26/2013,368.31
8/27/2013,358.31
8/28/2013,359.04
8/29/2013,360.27
8/30/2013,358.16
9/3/2013,361.67
9/4/2013,364.1
9/5/2013,365.81
9/6/2013,365.15
9/9/2013,368.2
9/10/2013,373.93
9/11/2013,373.64
9/12/2013,371.31
9/13/2013,372.44
9/16/2013,376.09
9/17/2013,378.39
9/18/2013,380.74
