Ticker,Date,Open,High,Low,Close
DJUSBK,12/29/2017,473.66,473.66,473.66,473.66
DJUSBK,12/28/2017,478.02,478.02,478.02,478.02
DJUSBK,12/27/2017,476.12,476.12,476.12,476.12
DJUSBK,12/26/2017,476.61,476.61,476.61,476.61
DJUSBK,12/25/2017,479.7,479.7,479.7,479.7
DJUSBK,12/22/2017,479.7,479.7,479.7,479.7
DJUSBK,12/21/2017,480.53,480.53,480.53,480.53
DJUSBK,12/20/2017,473.57,473.57,473.57,473.57
DJUSBK,12/19/2017,474.8,474.8,474.8,474.8
DJUSBK,12/18/2017,477.27,477.27,477.27,477.27
DJUSBK,12/15/2017,471.45,471.45,471.45,471.45
DJUSBK,12/14/2017,465.25,465.25,465.25,465.25
DJUSBK,12/13/2017,469.05,469.05,469.05,469.05
DJUSBK,12/12/2017,475.61,475.61,475.61,475.61
DJUSBK,12/11/2017,469.88,469.88,469.88,469.88
DJUSBK,12/08/2017,471.86,471.86,471.86,471.86
DJUSBK,12/07/2017,468.99,468.99,468.99,468.99
DJUSBK,12/06/2017,467.28,467.28,467.28,467.28
DJUSBK,12/05/2017,470.25,470.25,470.25,470.25
DJUSBK,12/04/2017,473.33,473.33,473.33,473.33
DJUSBK,12/01/2017,463.24,463.24,463.24,463.24
DJUSBK,11/30/2017,463.37,463.37,463.37,463.37
DJUSBK,11/29/2017,463.17,463.17,463.17,463.17
DJUSBK,11/28/2017,451.65,451.65,451.65,451.65
DJUSBK,11/27/2017,437.22,437.22,437.22,437.22
DJUSBK,11/24/2017,438.16,438.16,438.16,438.16
DJUSBK,11/23/2017,439.52,439.52,439.52,439.52
DJUSBK,11/22/2017,439.52,439.52,439.52,439.52
DJUSBK,11/21/2017,440.99,440.99,440.99,440.99
DJUSBK,11/20/2017,440.65,440.65,440.65,440.65
DJUSBK,11/17/2017,438.1,438.1,438.1,438.1
DJUSBK,11/16/2017,438.85,438.85,438.85,438.85
DJUSBK,11/15/2017,438.02,438.02,438.02,438.02
DJUSBK,11/14/2017,435.71,435.71,435.71,435.71
DJUSBK,11/13/2017,435.54,435.54,435.54,435.54
DJUSBK,11/10/2017,434.14,434.14,434.14,434.14
DJUSBK,11/09/2017,435.18,435.18,435.18,435.18
DJUSBK,11/08/2017,437.8,437.8,437.8,437.8
DJUSBK,11/07/2017,442.54,442.54,442.54,442.54
DJUSBK,11/06/2017,452.52,452.52,452.52,452.52
DJUSBK,11/03/2017,453.9,453.9,453.9,453.9
DJUSBK,11/02/2017,455.04,455.04,455.04,455.04
DJUSBK,11/01/2017,451.63,451.63,451.63,451.63
DJUSBK,10/31/2017,450.62,450.62,450.62,450.62
DJUSBK,10/30/2017,451.74,451.74,451.74,451.74
DJUSBK,10/27/2017,454.22,454.22,454.22,454.22
