end,val,accn,fy,fp,form,filed,frame,start
2009-12-31,12841399000.0,0001193125-10-181548,2010,Q2,10-Q,2010-08-06,,
2009-12-31,12841399000.0,0001193125-10-250157,2010,Q3,10-Q,2010-11-05,,
2009-12-31,12841399000.0,0001193125-11-047635,2010,FY,10-K,2011-02-25,CY2009Q4I,
2010-06-30,14903986000.0,0001193125-10-181548,2010,Q2,10-Q,2010-08-06,CY2010Q2I,
2010-09-30,15660069000.0,0001193125-10-250157,2010,Q3,10-Q,2010-11-05,CY2010Q3I,
2010-12-31,17527761000.0,0001193125-11-047635,2010,FY,10-K,2011-02-25,,
2010-12-31,17527761000.0,0001193125-11-130721,2011,Q1,10-Q,2011-05-06,,
2010-12-31,17527761000.0,0001193125-11-212416,2011,Q2,10-Q,2011-08-05,,
2010-12-31,17527761000.0,0001193125-11-297377,2011,Q3,10-Q,2011-11-04,,
2010-12-31,17527761000.0,0001193125-12-085818,2011,FY,10-K,2012-02-28,CY2010Q4I,
2011-03-31,18618266000.0,0001193125-11-130721,2011,Q1,10-Q,2011-05-06,CY2011Q1I,
2011-06-30,19366735000.0,0001193125-11-212416,2011,Q2,10-Q,2011-08-05,CY2011Q2I,
2011-09-30,19195363000.0,0001193125-11-297377,2011,Q3,10-Q,2011-11-04,CY2011Q3I,
2011-12-31,19968894000.0,0001193125-12-085818,2011,FY,10-K,2012-02-28,,
2011-12-31,19968894000.0,0001193125-12-225234,2012,Q1,10-Q,2012-05-10,,
2011-12-31,19968894000.0,0001193125-12-344003,2012,Q2,10-Q,2012-08-08,,
2011-12-31,19968894000.0,0000719739-12-000011,2012,Q3,10-Q,2012-11-09,,
2011-12-31,19968894000.0,0000719739-13-000009,2012,FY,10-K,2013-02-27,CY2011Q4I,
2012-03-31,20818337000.0,0001193125-12-225234,2012,Q1,10-Q,2012-05-10,CY2012Q1I,
2012-06-30,21289772000.0,0001193125-12-344003,2012,Q2,10-Q,2012-08-08,CY2012Q2I,
2012-09-30,21576934000.0,0000719739-12-000011,2012,Q3,10-Q,2012-11-09,CY2012Q3I,
2012-12-31,22766123000.0,0000719739-13-000009,2012,FY,10-K,2013-02-27,,
2012-12-31,22766123000.0,0000719739-13-000019,2013,Q1,10-Q,2013-05-10,,
2012-12-31,22766123000.0,0000719739-13-000040,2013,Q2,10-Q,2013-08-08,,
2012-12-31,22766123000.0,0000719739-13-000054,2013,Q3,10-Q,2013-11-08,,
2012-12-31,22766123000.0,0000719739-14-000012,2013,FY,10-K,2014-02-27,CY2012Q4I,
2013-03-31,22796000000.0,0000719739-13-000019,2013,Q1,10-Q,2013-05-10,CY2013Q1I,
2013-06-30,22153901000.0,0000719739-13-000040,2013,Q2,10-Q,2013-08-08,CY2013Q2I,
2013-09-30,23740864000.0,0000719739-13-000054,2013,Q3,10-Q,2013-11-08,CY2013Q3I,
2013-12-31,26417189000.0,0000719739-14-000012,2013,FY,10-K,2014-02-27,,
2013-12-31,26417189000.0,0000719739-14-000021,2014,Q1,10-Q,2014-05-09,,
2013-12-31,26417189000.0,0000719739-14-000034,2014,Q2,10-Q,2014-08-08,,
2013-12-31,26417189000.0,0000719739-14-000044,2014,Q3,10-Q,2014-11-07,,
2013-12-31,26417189000.0,0000719739-15-000022,2014,FY,10-K,2015-02-26,CY2013Q4I,
2014-03-31,29711039000.0,0000719739-14-000021,2014,Q1,10-Q,2014-05-09,CY2014Q1I,
2014-06-30,33309016000.0,0000719739-14-000034,2014,Q2,10-Q,2014-08-08,CY2014Q2I,
2014-09-30,36041007000.0,0000719739-14-000044,2014,Q3,10-Q,2014-11-07,CY2014Q3I,
2014-12-31,39344640000.0,0000719739-15-000022,2014,FY,10-K,2015-02-26,,
2014-12-31,39339950000.0,0000719739-15-000034,2015,Q1,10-Q,2015-05-11,,
2014-12-31,39339950000.0,0000719739-15-000048,2015,Q2,10-Q,2015-08-07,,
2014-12-31,39337869000.0,0000719739-15-000059,2015,Q3,10-Q,2015-11-06,,
2014-12-31,39337869000.0,0000719739-16-000073,2015,FY,10-K,2016-02-26,CY2014Q4I,
2015-03-31,39695990000.0,0000719739-15-000034,2015,Q1,10-Q,2015-05-11,CY2015Q1I,
2015-06-30,40236118000.0,0000719739-15-000048,2015,Q2,10-Q,2015-08-07,CY2015Q2I,
2015-09-30,41730982000.0,0000719739-15-000059,2015,Q3,10-Q,2015-11-06,CY2015Q3I,
2015-12-31,44686703000.0,0000719739-16-000073,2015,FY,10-K,2016-02-26,,
2015-12-31,44686703000.0,0000719739-16-000085,2016,Q1,10-Q,2016-05-10,,
2015-12-31,44686703000.0,0000719739-16-000095,2016,Q2,10-Q,2016-08-08,,
2015-12-31,44686703000.0,0000719739-16-000114,2016,Q3,10-Q,2016-11-08,,
2015-12-31,44686703000.0,0000719739-17-000012,2016,FY,10-K,2017-02-28,CY2015Q4I,
