end, val ,accn,fy,fp,form,filed,frame
12/31/09," 12,841,399,000.00 ",0001193125-11-047635,2010,FY,10-K,2/25/11,CY2009Q4I
12/31/10," 17,527,761,000.00 ",0001193125-11-047635,2010,FY,10-K,2/25/11,
12/31/10," 17,527,761,000.00 ",0001193125-12-085818,2011,FY,10-K,2/28/12,CY2010Q4I
12/31/11," 19,968,894,000.00 ",0001193125-12-085818,2011,FY,10-K,2/28/12,
12/31/11," 19,968,894,000.00 ",0000719739-13-000009,2012,FY,10-K,2/27/13,CY2011Q4I
12/31/12," 22,766,123,000.00 ",0000719739-13-000009,2012,FY,10-K,2/27/13,
12/31/12," 22,766,123,000.00 ",0000719739-14-000012,2013,FY,10-K,2/27/14,CY2012Q4I
12/31/13," 26,417,189,000.00 ",0000719739-14-000012,2013,FY,10-K,2/27/14,
12/31/13," 26,417,189,000.00 ",0000719739-15-000022,2014,FY,10-K,2/26/15,CY2013Q4I
12/31/14," 39,344,640,000.00 ",0000719739-15-000022,2014,FY,10-K,2/26/15,
12/31/14," 39,337,869,000.00 ",0000719739-16-000073,2015,FY,10-K,2/26/16,CY2014Q4I
12/31/15," 44,686,703,000.00 ",0000719739-16-000073,2015,FY,10-K,2/26/16,
12/31/15," 44,686,703,000.00 ",0000719739-17-000012,2016,FY,10-K,2/28/17,CY2015Q4I
12/31/16," 44,683,660,000.00 ",0000719739-17-000012,2016,FY,10-K,2/28/17,
12/31/16," 44,683,660,000.00 ",0000719739-18-000011,2017,FY,10-K,2/28/18,CY2016Q4I
12/31/17," 51,214,467,000.00 ",0000719739-18-000011,2017,FY,10-K,2/28/18,
12/31/17," 51,214,467,000.00 ",0000719739-19-000018,2018,FY,10-K,2/28/19,CY2017Q4I
12/31/18," 56,927,979,000.00 ",0000719739-19-000018,2018,FY,10-K,2/28/19,
12/31/18," 56,927,979,000.00 ",0000719739-20-000016,2019,FY,10-K,2/28/20,CY2018Q4I
12/31/19," 71,004,903,000.00 ",0000719739-20-000016,2019,FY,10-K,2/28/20,
12/31/19," 71,004,903,000.00 ",0000719739-21-000023,2020,FY,10-K,3/1/21,CY2019Q4I
12/31/20," 115,511,007,000.00 ",0000719739-21-000023,2020,FY,10-K,3/1/21,
12/31/20," 115,511,000,000.00 ",0000719739-22-000023,2021,FY,10-K,3/1/22,CY2020Q4I
12/31/21," 211,478,000,000.00 ",0000719739-22-000023,2021,FY,10-K,3/1/22,
12/31/21," 211,308,000,000.00 ",0000719739-23-000021,2022,FY,10-K,2/24/23,CY2021Q4I
12/31/22," 211,793,000,000.00 ",0000719739-23-000021,2022,FY,10-K,2/24/23,CY2022Q4I
