end, val ,accn,fy,fp,form,filed,frame
12/31/09," 12,841,399,000.00 ",0001193125-10-181548,2010,Q2,10-Q,8/6/10,
12/31/09," 12,841,399,000.00 ",0001193125-10-250157,2010,Q3,10-Q,11/5/10,
6/30/10," 14,903,986,000.00 ",0001193125-10-181548,2010,Q2,10-Q,8/6/10,CY2010Q2I
9/30/10," 15,660,069,000.00 ",0001193125-10-250157,2010,Q3,10-Q,11/5/10,CY2010Q3I
12/31/10," 17,527,761,000.00 ",0001193125-11-130721,2011,Q1,10-Q,5/6/11,
12/31/10," 17,527,761,000.00 ",0001193125-11-212416,2011,Q2,10-Q,8/5/11,
12/31/10," 17,527,761,000.00 ",0001193125-11-297377,2011,Q3,10-Q,11/4/11,
3/31/11," 18,618,266,000.00 ",0001193125-11-130721,2011,Q1,10-Q,5/6/11,CY2011Q1I
6/30/11," 19,366,735,000.00 ",0001193125-11-212416,2011,Q2,10-Q,8/5/11,CY2011Q2I
9/30/11," 19,195,363,000.00 ",0001193125-11-297377,2011,Q3,10-Q,11/4/11,CY2011Q3I
12/31/11," 19,968,894,000.00 ",0001193125-12-225234,2012,Q1,10-Q,5/10/12,
12/31/11," 19,968,894,000.00 ",0001193125-12-344003,2012,Q2,10-Q,8/8/12,
12/31/11," 19,968,894,000.00 ",0000719739-12-000011,2012,Q3,10-Q,11/9/12,
3/31/12," 20,818,337,000.00 ",0001193125-12-225234,2012,Q1,10-Q,5/10/12,CY2012Q1I
6/30/12," 21,289,772,000.00 ",0001193125-12-344003,2012,Q2,10-Q,8/8/12,CY2012Q2I
9/30/12," 21,576,934,000.00 ",0000719739-12-000011,2012,Q3,10-Q,11/9/12,CY2012Q3I
12/31/12," 22,766,123,000.00 ",0000719739-13-000019,2013,Q1,10-Q,5/10/13,
12/31/12," 22,766,123,000.00 ",0000719739-13-000040,2013,Q2,10-Q,8/8/13,
12/31/12," 22,766,123,000.00 ",0000719739-13-000054,2013,Q3,10-Q,11/8/13,
3/31/13," 22,796,000,000.00 ",0000719739-13-000019,2013,Q1,10-Q,5/10/13,CY2013Q1I
6/30/13," 22,153,901,000.00 ",0000719739-13-000040,2013,Q2,10-Q,8/8/13,CY2013Q2I
9/30/13," 23,740,864,000.00 ",0000719739-13-000054,2013,Q3,10-Q,11/8/13,CY2013Q3I
12/31/13," 26,417,189,000.00 ",0000719739-14-000021,2014,Q1,10-Q,5/9/14,
