cert,company_name,main_office,branch_name,established_date,service_type,address,county,city,state,zip,latitude,longitude
57803,Ally Bank,1,Ally Bank,2004-08-02,Full Service Brick and Mortar Office,200 W Civic Center Dr,Salt Lake,Sandy,Utah,84070,40.57241749711447,-111.89603258381904
34968,Banco Popular de Puerto Rico,0,EXPRESO GARDEN HILLS BRANCH,2011-06-30,Full Service Brick and Mortar Office,Carr 19 Esq. Ramirez De Arellano Garden Hills Plaza,Guaynabo,Guaynabo,Puerto Rico,966,18.39667348439383,-66.11518943964091
34968,Banco Popular de Puerto Rico,0,SAN FRANCISCO BRANCH,1970-04-20,Full Service Brick and Mortar Office,201 Ave De Diego,San Juan,San Juan,Puerto Rico,927,18.386381998838104,-66.0817810083189
34968,Banco Popular de Puerto Rico,0,HUMACAO ESTE BRANCH,1971-11-18,Full Service Brick and Mortar Office,3 Carr Triumph Plaza,Humacao,Humacao,Puerto Rico,791,18.147994469000423,-65.81733183899962
34968,Banco Popular de Puerto Rico,0,ISLA VERDE BRANCH,1975-01-27,Full Service Brick and Mortar Office,Baldorioty De Castro Avenue,Carolina,Carolina,Puerto Rico,979,18.433529,-66.011814
34968,Banco Popular de Puerto Rico,0,BAYAMON OESTE BRANCH,1976-01-19,Full Service Brick and Mortar Office,Bayamon Oeste Shopping Center,Bayamon,Bayamon,Puerto Rico,961,18.411109,-66.159246
34968,Banco Popular de Puerto Rico,0,EL SENORIAL MALL BRANCH,1976-04-30,Full Service Brick and Mortar Office,22 Ave Winston Churchill,San Juan,San Juan,Puerto Rico,926,18.37017701397193,-66.06807299240869
34968,Banco Popular de Puerto Rico,0,TRUJILLO ALTO BRANCH,1980-07-14,Full Service Brick and Mortar Office,Munoz Rivera No 3,Trujillo Alto,Trujillo Alto,Puerto Rico,976,18.336122,-65.998814
34968,Banco Popular de Puerto Rico,0,CENTRO MEDICO BRANCH,1982-10-11,Full Service Brick and Mortar Office,"Medical Center, Monacillos Ward",San Juan,San Juan,Puerto Rico,928,0.0,0.0
34968,Banco Popular de Puerto Rico,0,RIO HONDO BRANCH,1983-11-01,Full Service Brick and Mortar Office,"Plaza Rio Hondo, Avenida Comerio",Bayamon,Bayamon,Puerto Rico,957,18.368841,-66.187401
34968,Banco Popular de Puerto Rico,1,Banco Popular de Puerto Rico,1999-01-02,Full Service Brick and Mortar Office,209 Avenida Luis Munoz Rivera,San Juan,San Juan,Puerto Rico,00918,18.432954,-66.06027225
34968,Banco Popular de Puerto Rico,0,MAYAGUEZ MALL SUR BRANCH,1987-08-17,Full Service Brick and Mortar Office,Mayaguez Mall Shopping Center,Mayaguez,Hormigueros,Puerto Rico,680,18.208055,-67.099053
34968,Banco Popular de Puerto Rico,0,PONCE TOWNE CENTER  BRANCH,1977-01-31,Full Service Brick and Mortar Office,Calle Maruca Local 3-A Bo Canas Carr. Pr 2,Ponce,Ponce,Puerto Rico,731,18.103861405479503,-66.62569139144455
34968,Banco Popular de Puerto Rico,0,MAIN OFFICE BRANCH,1993-09-30,Full Service Brick and Mortar Office,193 Altona & Welgunst,St. Thomas,Charlotte Amalie,Virgin Islands Of The U.S.,802,18.33225984501587,-64.88410425051069
34968,Banco Popular de Puerto Rico,0,FORT MYLNER BRANCH,1993-09-30,Full Service Brick and Mortar Office,"Fort Mylner Shopping Center, Parcels 2-1, 2-2, 2-3",St. Thomas,Charlotte Amalie,Virgin Islands Of The U.S.,801,18.341245,-64.93405
34968,Banco Popular de Puerto Rico,0,SUGAR STATE BRANCH,1993-09-30,Full Service Brick and Mortar Office,"Lock Shart Gardens Shopping Center, Estate Thomas",St. Thomas,Charlotte Amalie,Virgin Islands Of The U.S.,801,18.341245,-64.93405
34968,Banco Popular de Puerto Rico,0,RED HOOK BRANCH,1993-09-30,Full Service Brick and Mortar Office,"Estate Smith Bay #1, 2, And 3 East End Quarter",St. Thomas,Charlotte Amalie,Virgin Islands Of The U.S.,801,18.341245,-64.93405
34968,Banco Popular de Puerto Rico,0,MONTEHIEDRA BRANCH,1996-04-01,Full Service Brick and Mortar Office,"Carr. Los Romeros, Bo. Caimito Km. 1, Hm. 9",San Juan,Rio Piedras,Puerto Rico,926,18.347484,-66.059463
34968,Banco Popular de Puerto Rico,0,GALERIAS PASEOS BRANCH,1996-04-20,Full Service Brick and Mortar Office,"Centro Commercial Galerias Paseos, Esq. Ave. Grand Boulevard #100",San Juan,Rio Piedras,Puerto Rico,926,18.347484,-66.059463
34968,Banco Popular de Puerto Rico,0,Isabela Mall Branch,1994-10-17,Full Service Brick and Mortar Office,Plazoleta De Isabela Barrio Mora State Road No 2 Int. 4494 Km.1,Isabela,Isabela,Puerto Rico,662,18.47003003976775,-67.02416994936027
34968,Banco Popular de Puerto Rico,0,PARQUE ESCORIAL BRANCH,1988-05-31,Full Service Brick and Mortar Office,Cntro Commercial Parque Escorial,San Juan,Rio Piedras,Puerto Rico,926,18.347484,-66.059463
34968,Banco Popular de Puerto Rico,0,MALL OF SAN JUAN BRANCH,2019-12-06,Full Service Brick and Mortar Office,1000 The Mall Of San Juan Boulevard,San Juan,San Juan,Puerto Rico,00924,18.41198526643466,-66.02476138234725
34968,Banco Popular de Puerto Rico,0,Mayaguez Mall Sur Branch,1991-10-01,Full Service Brick and Mortar Office,975 Avenue Hostos,Mayaguez,Mayaguez,Puerto Rico,680,18.15603598400766,-67.14487103146728
34968,Banco Popular de Puerto Rico,0,SAN PATRICIO MALL BRANCH,1996-11-20,Full Service Brick and Mortar Office,"Centro Comercial San Patricio, Calle Ortegon, Caparra Hills",Guaynabo,Guaynabo,Puerto Rico,922,18.411908,-66.100099
34968,Banco Popular de Puerto Rico,0,HUMACAO PALMA REAL,1996-12-23,Full Service Brick and Mortar Office,Carr. 3 Km. 84 Centro Comercial Palma Real,Humacao,Humacao,Puerto Rico,791,18.143377212388486,-65.81488878069263
34968,Banco Popular de Puerto Rico,0,Ponce Town Center Branch,2003-02-14,Full Service Brick and Mortar Office,Carr 2 Km 222.4 Centro,Ponce,Ponce,Puerto Rico,732,17.983274142317597,-66.6591727454604
34968,Banco Popular de Puerto Rico,0,EL MERCADO PLAZA,1996-12-30,Full Service Brick and Mortar Office,"Centro Comercial Mercado Plaza, Bo. Cedro Arriba, Carr 152, Km. 14, Hm. 6",Naranjito,Naranjito,Puerto Rico,719,18.288338,-66.252811
34968,Banco Popular de Puerto Rico,0,PLAZA LAS AMERICAS BRANCH,1996-10-28,Full Service Brick and Mortar Office,"Primer Nivel, Suite 109 Centro Comercial Plaza Las Americas",San Juan,San Juan,Puerto Rico,919,18.427026700000056,-66.07045479999994
34968,Banco Popular de Puerto Rico,0,ARECIBO SAN LUIS BRANCH,1968-11-12,Full Service Brick and Mortar Office,614 Ave San Luis,Arecibo,Arecibo,Puerto Rico,612,18.468824009629344,-66.73085295908659
34968,Banco Popular de Puerto Rico,0,PLAZA CAROLINA BRANCH,1966-07-19,Full Service Brick and Mortar Office,"Avenue Fragroso, Ruta 26",Carolina,Carolina,Puerto Rico,987,18.36882515900044,-65.98844320699965
34968,Banco Popular de Puerto Rico,0,CONDADO GALLERY BRANCH,1917-04-15,Full Service Brick and Mortar Office,100 Ave Roberto H Todd,San Juan,Santurce,Puerto Rico,907,18.45227800703248,-66.07403596214672
34968,Banco Popular de Puerto Rico,0,WALMART PARADA 18 BRANCH,2013-03-15,Full Service Retail Office,Roberto H Todd Avenue Parada 18,San Juan,San Juan,Puerto Rico,00907,18.44846851200043,-66.07587941599962
34968,Banco Popular de Puerto Rico,0,CAGUAS REGION OFFICE BRANCH,2011-06-30,Limited Service Administrative Office,20 Muqoz Rivera Esq. Ruiz Belvis 2nd Floor,Caguas,Caguas,Puerto Rico,725,18.21063869262161,-66.02804425024192
34968,Banco Popular de Puerto Rico,0,PONCE REGION BRANCH,2011-06-30,Limited Service Administrative Office,Edif Ponce Plaza 2nd Floor Plaza Degetau Esq. Comercio,Ponce,Ponce,Puerto Rico,731,18.103861405479503,-66.62569139144455
34968,Banco Popular de Puerto Rico,0,WALMART MANATI BRANCH,2011-06-30,Full Service Brick and Mortar Office,Monte Real Shopping  Bo. Coto Norte Carr Pr2 Km 45.8,Manati,Manati,Puerto Rico,674,18.420431106910087,-66.49034913780241
34968,Banco Popular de Puerto Rico,0,ECONO MANATI BRANCH,2011-06-30,Full Service Brick and Mortar Office,Carr 670 Km 1.1 Cordova Davila,Manati,Manati,Puerto Rico,674,18.426701791574505,-66.4912340432473
34968,Banco Popular de Puerto Rico,0,WESTERN REGION OFFICE BRANCH,2011-06-30,Limited Service Administrative Office,1 Suau St. 2nd Floor Parque Suau,Mayaguez,Mayaguez,Puerto Rico,680,18.204311163464336,-67.14573811727062
34968,Banco Popular de Puerto Rico,0,WALMART CAGUAS BRANCH,2011-06-30,Full Service Brick and Mortar Office,Ave. Rafael Cordero Int. Pr 30,Caguas,Caguas,Puerto Rico,725,18.21063869262161,-66.02804425024192
34968,Banco Popular de Puerto Rico,0,PENUELAS BRANCH,1959-08-06,Full Service Brick and Mortar Office,318 Calle Munoz Rivera,Penuelas,Penuelas,Puerto Rico,624,18.05530298410696,-66.72163797855454
34968,Banco Popular de Puerto Rico,0,MUNOZ RIVERA BRANCH,1942-10-01,Full Service Brick and Mortar Office,1125 Ave Munoz Rivera,San Juan,San Juan,Puerto Rico,925,18.399413576155823,-66.05596610582077
34968,Banco Popular de Puerto Rico,0,REPARTO METROPOLITANO BRANCH,1958-12-15,Full Service Brick and Mortar Office,1008 Ave Americo Miranda,San Juan,San Juan,Puerto Rico,921,18.40001197922976,-66.07525200865942
34968,Banco Popular de Puerto Rico,0,SANTA ISABEL BRANCH,1959-07-21,Full Service Brick and Mortar Office,Carr 153 Int Carr 542 Km 57.7,Santa Isabel,Santa Isabel,Puerto Rico,757,17.96818002100042,-66.40607999899964
34968,Banco Popular de Puerto Rico,0,SUNSHINE MALL BRANCH,2011-12-03,Full Service Brick and Mortar Office,State Cane Suite 201-203,St. Croix,Frederiksted,Virgin Islands Of The U.S.,00840,17.725089999999966,-64.85435999999999
34968,Banco Popular de Puerto Rico,0,STOP 26 BRANCH,1950-11-13,Full Service Brick and Mortar Office,1900 Ponce De Leon Ave And Sagrado C,San Juan,San Juan,Puerto Rico,910,18.438269249783666,-66.05972712796456
34968,Banco Popular de Puerto Rico,0,VILLALBA BRANCH,1959-07-13,Full Service Brick and Mortar Office,69 Calle Munoz Rivera,Villalba,Villalba,Puerto Rico,766,18.13001398841385,-66.49263399024152
34968,Banco Popular de Puerto Rico,0,RALPH FOOD WAREHOUSE BRANCH,1997-08-08,Full Service Brick and Mortar Office,"Carr. Estatal #198, Urb. Industrial Juncos",Juncos,Juncos,Puerto Rico,777,18.223468,-65.908908
34968,Banco Popular de Puerto Rico,0,YAUCO PLAZA BRANCH,1911-01-01,Full Service Brick and Mortar Office,Betances And Mattei Lluberas Street,Yauco,Yauco,Puerto Rico,698,18.035659,-66.849117
34968,Banco Popular de Puerto Rico,0,ARECIBO AEROPUERTO,2006-01-10,Full Service Brick and Mortar Office,"Carretera 2, Bo. Santans",Arecibo,Arecibo,Puerto Rico,612,18.406496,-66.674989
34968,Banco Popular de Puerto Rico,0,CAMPO RICO BRANCH,1968-09-16,Full Service Brick and Mortar Office,Avenue Campo Rico And Expressway Loiza,San Juan,Carolina,Puerto Rico,982,18.414865563000436,-65.99394307899962
34968,Banco Popular de Puerto Rico,0,DORAL BANK BRANCH,1981-10-16,Full Service Brick and Mortar Office,1451 Ave Fd Roosevelt,San Juan,San Juan,Puerto Rico,920,18.413467993221005,-66.09730001822919
34968,Banco Popular de Puerto Rico,0,LA Rambla Shopping Center Branch,1968-12-30,Full Service Brick and Mortar Office,80 Avenue Tito Castro Street 14,Ponce,Ponce,Puerto Rico,731,18.040718411196067,-66.5801114436049
34968,Banco Popular de Puerto Rico,0,PATILLAS BRANCH,1969-10-27,Full Service Brick and Mortar Office,33 Luis Munoz Rivera & Iglesias Streets,Patillas,Patillas,Puerto Rico,723,18.031849,-66.012175
34968,Banco Popular de Puerto Rico,0,AIBONITO BRANCH,1920-10-30,Full Service Brick and Mortar Office,"Pr Carr. #14, Km.51.3, Bo, El Roble",Aibonito,Aibonito,Puerto Rico,705,18.131119,-66.264343
